iter	Passed	Remaining
0	0	790
1	1	730
2	2	708
3	2	686
4	3	678
5	4	677
6	4	669
7	5	664
8	6	661
9	6	655
10	7	651
11	7	651
12	8	643
13	9	644
14	9	650
15	10	649
16	11	648
17	11	643
18	12	640
19	12	636
20	13	640
21	14	639
22	14	636
23	15	634
24	16	633
25	16	631
26	17	631
27	18	628
28	18	626
29	19	625
30	20	625
31	20	623
32	21	622
33	21	622
34	22	620
35	23	618
36	23	617
37	24	619
38	25	617
39	25	615
40	26	616
41	26	614
42	27	613
43	28	612
44	28	610
45	29	609
46	29	607
47	30	607
48	31	605
49	31	604
50	32	603
51	33	602
52	33	601
53	34	601
54	34	599
55	35	599
56	36	597
57	36	595
58	37	594
59	37	591
60	38	591
61	39	591
62	39	591
63	40	590
64	40	589
65	41	588
66	42	587
67	42	582
68	43	580
69	43	579
70	44	579
71	44	578
72	45	577
73	46	576
74	46	576
75	47	576
76	47	575
77	48	574
78	49	573
79	49	571
80	50	571
81	50	570
82	51	569
83	52	572
84	52	568
85	53	568
86	53	566
87	54	565
88	55	564
89	55	565
90	56	565
91	57	563
92	57	562
93	58	562
94	59	562
95	59	561
96	60	561
97	60	560
98	61	560
99	62	559
100	62	559
101	63	556
102	63	554
103	64	553
104	64	552
105	65	552
106	66	552
107	66	551
108	67	551
109	68	550
110	68	549
111	69	548
112	69	547
113	70	547
114	70	546
115	71	544
116	72	543
117	72	543
118	73	541
119	73	540
120	74	539
121	74	538
122	75	535
123	75	535
124	76	534
125	76	533
126	77	532
127	77	530
128	78	529
129	78	528
130	79	528
131	80	527
132	80	526
133	81	526
134	81	525
135	82	524
136	83	524
137	83	522
138	84	522
139	84	521
140	85	520
141	86	520
142	86	519
143	87	518
144	87	517
145	88	516
146	88	516
147	89	515
148	90	514
149	90	513
150	91	512
151	91	512
152	92	511
153	92	510
154	93	509
155	94	508
156	94	507
157	95	507
158	95	506
159	96	505
160	96	505
161	97	504
162	98	503
163	98	502
164	99	502
165	99	501
166	100	501
167	101	500
168	101	499
169	102	498
170	102	498
171	103	497
172	103	496
173	104	495
174	105	495
175	105	494
176	106	493
177	106	493
178	107	492
179	107	491
180	108	489
181	108	489
182	109	488
183	109	487
184	110	487
185	111	486
186	111	485
187	112	485
188	112	484
189	113	483
190	114	483
191	114	482
192	115	481
193	115	481
194	116	480
195	117	480
196	117	479
197	118	478
198	118	478
199	119	477
200	119	476
201	120	475
202	121	475
203	121	474
204	122	473
205	122	473
206	123	473
207	124	472
