iter	Passed	Remaining
0	47	47585
1	48	23989
2	48	16118
3	48	12185
4	49	9818
5	49	8234
6	50	7108
7	50	6263
8	50	5604
9	51	5079
10	51	4649
11	52	4290
12	52	3986
13	52	3725
14	53	3499
15	53	3299
16	54	3124
17	54	2970
18	54	2830
19	55	2703
20	55	2598
21	56	2499
22	56	2406
23	57	2320
24	57	2245
25	57	2171
26	58	2105
27	58	2042
28	59	1984
29	59	1930
30	60	1880
31	60	1831
32	60	1786
33	61	1744
34	61	1703
35	62	1665
36	62	1629
37	63	1595
38	63	1562
39	63	1531
40	64	1501
41	64	1472
42	64	1446
43	65	1420
44	65	1396
45	66	1374
46	66	1352
47	67	1330
48	67	1309
49	67	1289
50	68	1270
51	68	1252
52	69	1234
53	69	1217
54	69	1200
55	70	1184
56	70	1169
57	71	1155
58	71	1140
59	71	1126
60	72	1119
61	73	1106
62	73	1095
63	74	1084
64	74	1075
65	75	1065
66	75	1053
67	76	1045
68	76	1035
69	77	1024
70	77	1014
71	78	1011
72	78	1002
73	79	993
74	79	983
75	80	974
76	80	965
77	80	956
78	81	948
79	81	940
80	82	932
81	82	924
82	82	915
83	83	909
84	83	901
85	84	895
86	84	890
87	85	883
88	85	876
89	86	870
90	86	865
91	87	859
92	87	854
93	88	848
94	88	842
95	88	836
96	89	830
97	89	824
98	90	820
99	90	814
100	90	809
101	91	805
102	91	800
103	92	795
104	92	790
105	93	785
106	93	780
107	93	775
108	94	770
109	94	766
110	95	761
111	95	757
112	95	752
113	96	748
114	96	744
115	97	739
116	97	735
117	97	731
118	98	726
119	98	722
120	98	718
121	99	714
122	99	710
123	100	706
124	100	703
125	101	700
126	101	697
127	101	694
128	102	691
129	102	687
130	103	684
131	103	681
132	104	681
133	104	677
134	105	674
135	105	671
136	106	668
137	106	665
138	107	662
139	107	659
140	108	658
141	108	655
142	108	652
143	109	649
144	109	646
145	109	643
146	110	640
147	110	637
148	111	635
149	111	632
150	112	629
151	112	627
152	112	624
153	113	621
154	113	619
155	113	616
156	114	614
157	114	611
158	115	609
159	115	607
160	116	605
161	116	602
162	116	600
163	117	598
164	117	595
165	118	593
166	118	591
167	118	588
168	119	586
169	119	584
170	120	582
171	120	580
172	121	578
173	121	576
174	121	574
175	122	572
176	122	570
177	123	568
178	123	567
179	124	565
180	124	562
181	124	560
182	125	559
183	125	557
184	126	555
185	126	553
186	126	551
187	127	549
188	127	548
189	128	546
190	128	545
191	129	543
192	129	541
193	129	539
194	130	537
195	130	536
196	131	534
197	131	532
198	132	531
199	132	529
200	132	527
201	133	526
202	133	524
203	133	522
204	134	520
205	134	519
206	135	517
207	135	516
208	136	517
209	137	515
210	137	514
211	137	512
212	138	511
213	138	509
214	139	507
215	139	506
216	139	504
217	140	503
218	140	502
219	141	500
220	141	498
221	141	497
222	142	495
223	142	494
224	143	492
225	143	491
226	143	489
227	144	488
228	144	486
229	145	486
230	145	485
231	146	483
232	146	482
233	147	481
234	147	479
235	147	478
236	148	477
237	148	475
238	149	474
239	149	473
240	149	471
241	150	470
242	150	469
243	151	468
244	151	467
245	152	466
246	152	464
247	152	463
248	153	462
249	153	461
250	155	463
251	155	462
252	156	461
253	156	459
254	156	458
255	157	457
